mean_overlapping_bboxes,class_acc,loss_rpn_cls,loss_rpn_regr,loss_class_cls,loss_class_regr,curr_loss,elapsed_time,mAP
4.676,0.995,0.645,0.022,0.018,0.045,0.729,7.599,0
4.618,0.995,0.639,0.021,0.015,0.043,0.718,7.485,0
4.634,0.995,0.625,0.021,0.015,0.042,0.703,7.521,0
4.637,0.995,0.636,0.021,0.014,0.041,0.714,7.715,0
4.702,0.996,0.635,0.019,0.014,0.04,0.709,7.357,0
4.576,0.996,0.643,0.02,0.015,0.04,0.717,7.532,0
4.56,0.995,0.626,0.02,0.015,0.041,0.701,7.54,0
4.599,0.995,0.625,0.02,0.015,0.041,0.701,7.671,0
4.45,0.996,0.634,0.019,0.013,0.039,0.706,7.413,0
4.456,0.996,0.646,0.016,0.011,0.039,0.712,7.418,0
4.565,0.995,0.631,0.019,0.017,0.042,0.709,10.445,0
4.433,0.995,0.711,0.018,0.015,0.042,0.786,7.255,0
4.515,0.996,0.638,0.017,0.014,0.042,0.711,7.254,0
4.509,0.996,0.587,0.019,0.014,0.041,0.66,7.261,0
